,zip,name,school-summary,type,level-codes,level,street,city,state,phone,county,lat,lon,district-name,district-id,rating,lat_lon,new rating
59,30307,Paideia School,"Paideia School, a private school located in Atlanta, GA, serves grades PK-12 in the .",private,"p,e,m,h","PK,TK,KG,1,2,3,4,5,6,7,8,9,10,11,12",1509 Ponce De Leon Avenue Northeast,Atlanta,GA,(404) 270-2307,Dekalb County,33.773182,-84.337914,,0.0,,"(33.773182, -84.337914)",n/a
60,30307,Horizons School,"Horizons School, a private school located in Atlanta, GA, serves grades K-12 in the .",private,"e,m,h","KG,1,2,3,4,5,6,7,8,9,10,11,12",1900 Dekalb Ave NE,Atlanta,GA,(404) 378-2219,Fulton,33.761005,-84.324791,,0.0,,"(33.761005, -84.324791)",n/a
62,30307,The New School,"The New School, a private school located in Atlanta, GA, serves grades 9-12 in the .",private,h,"9,10,11,12",655 Memorial Drive SE,Atlanta,GA,(404) 500-9753,Fulton,33.756809,-84.354485,,0.0,,"(33.756809, -84.354485)",n/a
64,30307,Druid Hills High School,"Druid Hills High School, a public school located in Atlanta, GA, serves grades 9-12 in the Dekalb County School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",1798 Haygood Drive Northeast,Atlanta,GA,(678) 874-6302,Dekalb County,33.793098,-84.315834,Dekalb County School District,55.0,6,"(33.793098, -84.315834)",n/a
70,30315,Aps-Forrest Hills Academey,"Aps-Forrest Hills Academey, a public school located in Atlanta, GA, serves grades 6-12 in the Atlanta Public Schools.",public,"m,h","6,7,8,9,10,11,12",2930 Forrest Hills Drive Southwest,Atlanta,GA,(404) 591-7275,Fulton County,33.675117,-84.398468,Atlanta Public Schools,4.0,,"(33.675117, -84.398468)",A
72,30315,Early College High School At Carver,"Early College High School At Carver, a public school located in Atlanta, GA, serves grades 9-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 7 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",55 McDonough Boulevard Southeast,Atlanta,GA,(404) 802-4405,Fulton County,33.720566,-84.387085,Atlanta Public Schools,4.0,7,"(33.720566, -84.387085)",A+
73,30315,School Of Technology At Carver,"School Of Technology At Carver, a public school located in Atlanta, GA, serves grades 10-12 in the Atlanta Public Schools.",public,h,"10,11,12",55 McDonough Boulevard Southeast,Atlanta,GA,(404) 802-4410,Fulton,33.720566,-84.387085,Atlanta Public Schools,4.0,,"(33.720566, -84.387085)",A+
84,30315,Carver High School,"Carver High School, a public school located in Atlanta, GA, serves grades 9-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 2 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",55 McDonough Boulevard Southeast,Atlanta,GA,(404) 802-4415,Fulton County,33.720566,-84.387085,Atlanta Public Schools,4.0,2,"(33.720566, -84.387085)",A+
87,30316,Maynard H. Jackson- Jr. High School,"Maynard H. Jackson- Jr. High School, a public school located in Atlanta, GA, serves grades 9-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 5 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",801 Glenwood Avenue Southeast,Atlanta,GA,(404) 802-5200,Fulton County,33.739578,-84.361771,Atlanta Public Schools,4.0,5,"(33.739578, -84.361771)",D+
89,30316,Mohammed Schools Of Atlanta,"Mohammed Schools Of Atlanta, a private school located in Atlanta, GA, serves grades PK-12 in the .",private,"p,e,m,h","PK,TK,KG,1,2,3,4,5,6,7,8,9,10,11,12",735 Fayetteville Road Southeast,Atlanta,GA,(404) 378-4219,Dekalb County,33.736923,-84.315292,,0.0,,"(33.736923, -84.315292)",n/a
92,30316,Clara Mohammed Elementary/W. D,"Clara Mohammed Elementary/W. D, a private school located in Atlanta, GA, serves grades PK-12 in the .",private,"p,e,m,h","PK,KG,1,2,3,4,5,6,7,8,9,10,11,12",735 Fayetteville Road SE,Atlanta,GA,(404) 378-4219,DeKalb,33.736099,-84.313904,,0.0,,"(33.736099, -84.313904)",A+
93,30316,Light of the World of Atlanta,"Light of the World of Atlanta, a private school located in Atlanta, GA, serves grades K-12 in the .",private,"e,m,h","KG,1,2,3,4,5,6,7,8,9,10,11,12",542 Moreland Avenue Southeast,Atlanta,GA,(404) 635-1199,Dekalb County,33.739594,-84.348824,,0.0,,"(33.739594, -84.348824)",n/a
96,30316,Braddy Preparatory Academy,"Braddy Preparatory Academy, a private school located in Atlanta, GA, serves grades 3-12 in the .",private,"e,m,h","3,4,5,6,7,8,9,10,11,12",542 Moreland Avenue Southeast,Atlanta,GA,(404) 622-0506,DeKalb,33.739666,-84.348495,,0.0,,"(33.739666, -84.348495)",n/a
98,30316,Mcnair High School,"Mcnair High School, a public school located in Atlanta, GA, serves grades 9-12 in the Dekalb County School District.It has received a GreatSchools Rating of 2 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",1804 Bouldercrest Road,Atlanta,GA,(678) 874-4902,Dekalb County,33.703907,-84.325111,Dekalb County School District,55.0,2,"(33.703907, -84.325111)",n/a
102,30318,The Howard School,"The Howard School, a private school located in Atlanta, GA, serves grades K-12 in the .",private,"e,m,h","KG,1,2,3,4,5,6,7,8,9,10,11,12",1192 Foster Street Northwest,Atlanta,GA,(404) 377-7436,Fulton County,33.787216,-84.417351,,0.0,,"(33.787216, -84.417351)",
103,30318,Dar Un-Noor School,"Dar Un-Noor School, a private school located in Atlanta, GA, serves grades PK-12 in the .",private,"p,e,m,h","PK,TK,KG,1,2,3,4,5,6,7,8,9,10,11,12",434 14th Street Northwest,Atlanta,GA,(404) 876-5051,Fulton County,33.785286,-84.401428,,0.0,,"(33.785286, -84.401428)",
105,30318,Greater Atlanta Adventist Academy,"Greater Atlanta Adventist Academy, a private school located in Atlanta, GA, serves grades 9-12 in the .",private,h,"9,10,11,12",401 Hamilton E Holmes Drive Northwest,Atlanta,GA,(404) 799-0337,Fulton County,33.766064,-84.469193,,0.0,,"(33.766064, -84.469193)",
109,30318,The B.E.S.T. Academy,"The B.E.S.T. Academy, a public school located in Atlanta, GA, serves grades 6-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 5 out of 10, based on a variety of school quality measures.",public,"m,h","6,7,8,9,10,11,12",1190 Northwest Drive Northwest,Atlanta,GA,(404) 802-4900,Fulton County,33.788624,-84.479691,Atlanta Public Schools,4.0,5,"(33.788624, -84.479691)",
112,30318,Douglass High School,"Douglass High School, a public school located in Atlanta, GA, serves grades 9-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 2 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",225 Hamilton E Holmes Drive Northwest,Atlanta,GA,(404) 802-3100,Fulton County,33.761143,-84.469513,Atlanta Public Schools,4.0,2,"(33.761143, -84.469513)",
115,30318,Corretta Scott King Womens' Leadership Academy,"Corretta Scott King Womens' Leadership Academy, a public school located in Atlanta, GA, serves grades 6-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",public,"m,h","6,7,8,9,10,11,12",1190 Northwest Drive Northwest,Atlanta,GA,(404) 802-4900,Fulton County,33.788624,-84.479691,Atlanta Public Schools,4.0,6,"(33.788624, -84.479691)",
118,30318,The Howard School,"The Howard School, a private school located in Atlanta, GA, serves grades K-12 in the .",private,"e,m,h","KG,1,2,3,4,5,6,7,8,9,10,11,12",1192 Foster Street Northwest,Atlanta,GA,,Fulton County,33.787216,-84.417351,,0.0,,"(33.787216, -84.417351)",
125,30317,Charles Drew Charter School Ja/Sa,"Charles Drew Charter School Ja/Sa, a charter school located in Atlanta, GA, serves grades 6-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 7 out of 10, based on a variety of school quality measures.",charter,"m,h","6,7,8,9,10,11,12",300 East Lake Boulevard Southeast,Atlanta,GA,(404) 687-0001,Dekalb County,33.74271,-84.315437,Atlanta Public Schools,4.0,7,"(33.74271, -84.315437)",
126,30317,Crim High School,"Crim High School, a public school located in Atlanta, GA, serves grades 9-12 in the Atlanta Public Schools.",public,h,"9,10,11,12",256 Clifton Street Southeast,Atlanta,GA,(404) 802-5800,Dekalb County,33.745178,-84.331116,Atlanta Public Schools,4.0,,"(33.745178, -84.331116)",
127,30324,Heritage Preparatory School,"Heritage Preparatory School, a private school located in Atlanta, GA, serves grades PK-10 in the .",private,"p,e,m,h","PK,KG,1,2,3,4,5,6,7,8,9,10",1700 Piedmont Avenue Northeast,Atlanta,GA,(404) 815-7711,Fulton County,33.80143,-84.367943,,0.0,,"(33.80143, -84.367943)",
129,30324,"Midtown International School, Inc.","Midtown International School, Inc., a private school located in Atlanta, GA, serves grades K-12 in the .",private,"e,m,h","KG,1,2,3,4,5,6,7,8,9,10,11,12",1575 Sheridan Road Northeast,Atlanta,GA,(404) 542-7003,Dekalb County,33.824368,-84.335556,,0.0,,"(33.824368, -84.335556)",
140,30311,Therrell High School,"Therrell High School, a public school located in Atlanta, GA, serves grades 9-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 4 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",3099 Panther Trail Southwest,Atlanta,GA,(404) 802-5300,Fulton County,33.699608,-84.48896,Atlanta Public Schools,4.0,4,"(33.699608, -84.48896)",
141,30311,Black Star Educational Institute,"Black Star Educational Institute, a private school located in Atlanta, GA, serves grades K-12 in the .",private,"e,m,h","KG,1,2,3,4,5,6,7,8,9,10,11,12",2295 Benjamin E Mays Dr SW,Atlanta,GA,(404) 963-1713,Fulton,33.723316,-84.463585,,0.0,,"(33.723316, -84.463585)",
151,30344,Tri-Cities High School,"Tri-Cities High School, a public school located in East Point, GA, serves grades 9-12 in the Fulton County School District.It has received a GreatSchools Rating of 3 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",2575 Harris Street,East Point,GA,(470) 254-8200,Fulton County,33.684666,-84.436386,Fulton County School District,73.0,3,"(33.684666, -84.436386)",
152,30344,Pathway Christian School,"Pathway Christian School, a private school located in East Point, GA, serves grades PK-12 in the .",private,"p,e,m,h","PK,KG,1,2,3,4,5,6,7,8,9,10,11,12",1706 Washington Ave,East Point,GA,(404) 763-3216,Fulton,33.675228,-84.444496,,0.0,,"(33.675228, -84.444496)",
160,30344,Cameron Academy,"Cameron Academy, a private school located in East Point, GA, serves grades PK-12 & Ungraded in the .",private,"p,e,m,h","PK,KG,1,2,3,4,5,6,7,8,9,10,11,12,UG",1312 Knotts Ave.,East Point,GA,(404) 281-3667,Fulton,33.69701,-84.431267,,0.0,,"(33.69701, -84.431267)",
162,30344,Fulton Leadership Academy,"Fulton Leadership Academy, a charter school located in East Point, GA, serves grades 6-12 in the Commission Charter Schools- Fulton Leadership Academy School District.It has received a GreatSchools Rating of 3 out of 10, based on a variety of school quality measures.",charter,"m,h","6,7,8,9,10,11,12",2575 Dodson Drive,East Point,GA,(404) 472-3529,Fulton County,33.685265,-84.476036,Commission Charter Schools- Fulton Leadership Academy School District,219.0,3,"(33.685265, -84.476036)",
165,30344,Cornerstone Community Services Learning Academy,"Cornerstone Community Services Learning Academy, a private school located in Atlanta, GA, serves grades Ungraded in the .",private,"e,m,h",UG,777 Cleveland Avenue Southwest,Atlanta,GA,(404) 767-0222,Fulton,33.681713,-84.414864,,0.0,,"(33.681713, -84.414864)",
174,30305,Atlanta International School,"Atlanta International School, a private school located in Atlanta, GA, serves grades PK-12 in the .",private,"p,e,m,h","PK,TK,KG,1,2,3,4,5,6,7,8,9,10,11,12",2890 North Fulton Drive Northeast,Atlanta,GA,(404) 841-3840,Fulton County,33.833084,-84.378807,,0.0,,"(33.833084, -84.378807)",
181,30305,Atlanta Classical Academy,"Atlanta Classical Academy, a charter school located in Atlanta, GA, serves grades K-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",charter,"e,m,h","KG,1,2,3,4,5,6,7,8,9,10,11,12",3260 Northside Drive Northwest,Atlanta,GA,(404) 369-3500,Fulton County,33.843563,-84.407898,Atlanta Public Schools,4.0,6,"(33.843563, -84.407898)",
189,30030,Academe of the Oaks,"Academe of the Oaks, a private school located in Decatur, GA, serves grades 9-12 in the .",private,h,"9,10,11,12",146 New Street,Decatur,GA,(404) 405-2173,Dekalb County,33.771698,-84.284317,,0.0,,"(33.771698, -84.284317)",
192,30030,So Much 2 Learn Home School,"So Much 2 Learn Home School, a private school located in Decatur, GA, serves grades K-12 in the .",private,"e,m,h","KG,1,2,3,4,5,6,7,8,9,10,11,12",430 E Ponce de Leon Ave,Decatur,GA,(404) 370-7329,DeKalb,33.775581,-84.290863,,0.0,,"(33.775581, -84.290863)",
198,30030,Decatur High School,"Decatur High School, a public school located in Decatur, GA, serves grades 9-12 in the Decatur City School District.It has received a GreatSchools Rating of 8 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",310 North McDonough Street,Decatur,GA,(404) 370-4420,Dekalb County,33.77211,-84.297981,Decatur City School District,53.0,8,"(33.77211, -84.297981)",
209,30354,Assisted Learning Centers,"Assisted Learning Centers, a private school located in Hapeville, GA, serves grades 6-12 in the .",private,"m,h","6,7,8,9,10,11,12",4282B Old Dixie Highway,Hapeville,GA,(404) 567-4081,Clayton,33.637798,-84.390297,,0.0,,"(33.637798, -84.390297)",
211,30354,South Atlanta High School,"South Atlanta High School, a public school located in Atlanta, GA, serves grades 9-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 4 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",800 Hutchens Road Southeast,Atlanta,GA,(404) 802-5050,Fulton County,33.671005,-84.361679,Atlanta Public Schools,4.0,4,"(33.671005, -84.361679)",
214,30329,Ben Franklin Academy,"Ben Franklin Academy, a private school located in Atlanta, GA, serves grades 8-12 in the .",private,"m,h","8,9,10,11,12",1585 CLIFTON RD NE,Atlanta,GA,(404) 633-7404,DEKALB,33.828106,-84.327911,,0.0,,"(33.828106, -84.327911)",
215,30329,Temima High School,"Temima High School, a private school located in Atlanta, GA, serves grades 9-12 in the .",private,h,"9,10,11,12",1839 Lavista Road Northeast,Atlanta,GA,(404) 315-0507,Dekalb County,33.816044,-84.326584,,0.0,,"(33.816044, -84.326584)",
218,30329,Yeshiva Ohr Yisrael Of Atlanta,"Yeshiva Ohr Yisrael Of Atlanta, a private school located in Atlanta, GA, serves grades 9-12 in the .",private,h,"9,10,11,12",1458 Holly Lane Northeast,Atlanta,GA,(404) 320-1444,Dekalb County,33.82373,-84.324501,,0.0,,"(33.82373, -84.324501)",
219,30329,Marcus Institute School,"Marcus Institute School, a private school located in Atlanta, GA, serves grades Ungraded in the .",private,"e,m,h",UG,1920 Briarcliff Rd,Atlanta,GA,(404) 419-4459,DeKalb,33.809185,-84.334396,,0.0,,"(33.809185, -84.334396)",
221,30329,Margaret Harris Comprehensive School,"Margaret Harris Comprehensive School, a public school located in Atlanta, GA, serves grades PK-12 in the Dekalb County School District.",public,"p,e,m,h","PK,KG,1,2,3,4,5,6,7,8,9,10,11,12",1634 Knob Hill Drive Northeast,Atlanta,GA,(678) 874-7002,Dekalb County,33.829346,-84.320862,Dekalb County School District,55.0,,"(33.829346, -84.320862)",
227,30329,Rivers Academy   Atlanta,"Rivers Academy   Atlanta, a private school located in Atlanta, GA, serves grades 5-12 in the .",private,"e,m,h","5,6,7,8,9,10,11,12",1934 Cliff Valley Way Northeast,Atlanta,GA,(404) 458-5160,Dekalb County,33.835274,-84.324005,,0.0,,"(33.835274, -84.324005)",
229,30326,Fusion Academy Buckhead,"Fusion Academy Buckhead, a private school located in Atlanta, GA, serves grades 6-12 in the .",private,"m,h","6,7,8,9,10,11,12",3475 Lenox Road Northeast,Atlanta,GA,(762) 224-0422,Fulton,33.849213,-84.360664,,0.0,,"(33.849213, -84.360664)",
232,30032,Miller Preparatory Academy For,"Miller Preparatory Academy For, a private school located in Decatur, GA, serves grades 3-12 in the .",private,"e,m,h","3,4,5,6,7,8,9,10,11,12",2135 Shamrock Drive,Decatur,GA,(770) 322-9097,DeKalb,33.727501,-84.257797,,0.0,,"(33.727501, -84.257797)",
235,30032,The Community School,"The Community School, a private school located in Decatur, GA, serves grades 7-12 in the .",private,"m,h","7,8,9,10,11,12",3516 Covington Highway,Decatur,GA,(404) 308-8548,Dekalb County,33.766743,-84.250725,,0.0,,"(33.766743, -84.250725)",
244,30032,Columbia High School,"Columbia High School, a public school located in Decatur, GA, serves grades 9-12 in the Dekalb County School District.It has received a GreatSchools Rating of 3 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",2106 Columbia Drive,Decatur,GA,(678) 874-0802,Dekalb County,33.727882,-84.250519,Dekalb County School District,55.0,3,"(33.727882, -84.250519)",
247,30032,Towers High School,"Towers High School, a public school located in Decatur, GA, serves grades 9-12 in the Dekalb County School District.It has received a GreatSchools Rating of 3 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",3919 Brookcrest Circle,Decatur,GA,(678) 874-2202,Dekalb County,33.746929,-84.237183,Dekalb County School District,55.0,3,"(33.746929, -84.237183)",
253,30033,Montessori School At Emory,"Montessori School At Emory, a private school located in Decatur, GA, serves grades Ungraded in the .",private,"e,m,h",UG,3021 North Decatur Road,Decatur,GA,(404) 634-5777,DeKalb,33.793659,-84.269646,,0.0,,"(33.793659, -84.269646)",
266,30033,21 Century STEM Academy,"21 Century STEM Academy, a private school located in Decatur, GA, serves grades K-10 in the .",private,"e,m,h","KG,1,2,3,4,5,6,7,8,9,10",1549 Clairmont Road,Decatur,GA,(404) 343-2447,Dekalb County,33.799164,-84.306938,,0.0,,"(33.799164, -84.306938)",
268,30002,Dekalb School Of The Arts,"Dekalb School Of The Arts, a public school located in Avondale Estates, GA, serves grades 8-12 in the Dekalb County School District.It has received a GreatSchools Rating of 8 out of 10, based on a variety of school quality measures.",public,"m,h","8,9,10,11,12",1192 Clarendon Avenue,Avondale Estates,GA,(678) 676-2502,Dekalb County,33.759178,-84.266724,Dekalb County School District,55.0,8,"(33.759178, -84.266724)",
274,30327,North Atlanta High School,"North Atlanta High School, a public school located in Atlanta, GA, serves grades 9-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 7 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",4111 Northside Parkway Northwest,Atlanta,GA,(404) 802-4700,Fulton County,33.866638,-84.445,Atlanta Public Schools,4.0,7,"(33.866638, -84.445)",
276,30327,Pace Academy,"Pace Academy, a private school located in Atlanta, GA, serves grades K-12 in the .",private,"e,m,h","KG,1,2,3,4,5,6,7,8,9,10,11,12",966 West Paces Ferry Road Northwest,Atlanta,GA,(404) 262-1345,Fulton County,33.849037,-84.417099,,0.0,,"(33.849037, -84.417099)",
277,30327,The Westminster Schools,"The Westminster Schools, a private school located in Atlanta, GA, serves grades K-12 in the .",private,"e,m,h","KG,1,2,3,4,5,6,7,8,9,10,11,12",1424 West Paces Ferry Road Northwest,Atlanta,GA,(404) 367-5128,Fulton County,33.841892,-84.43409,,0.0,,"(33.841892, -84.43409)",
278,30327,Holy Innocents Episcopal School,"Holy Innocents Episcopal School, a private school located in Atlanta, GA, serves grades PK-12 in the .",private,"p,e,m,h","PK,TK,KG,1,2,3,4,5,6,7,8,9,10,11,12",805 Mount Vernon Highway,Atlanta,GA,(404) 847-1158,Fulton County,33.908474,-84.414001,,0.0,,"(33.908474, -84.414001)",
279,30327,Lovett School,"Lovett School, a private school located in Atlanta, GA, serves grades K-12 in the .",private,"e,m,h","KG,1,2,3,4,5,6,7,8,9,10,11,12",4075 Paces Ferry Road Northwest,Atlanta,GA,(404) 262-3032,Fulton County,33.858574,-84.453445,,0.0,,"(33.858574, -84.453445)",
281,30327,Holy Spirit Preparatory School,"Holy Spirit Preparatory School, a private school located in Atlanta, GA, serves grades PK-12 in the .",private,"p,e,m,h","PK,KG,1,2,3,4,5,6,7,8,9,10,11,12",4449 Northside Dr,Atlanta,GA,(678) 761-7992,Fulton,33.877029,-84.409439,,0.0,,"(33.877029, -84.409439)",
285,30327,Atlanta Girls School,"Atlanta Girls School, a private school located in Atlanta, GA, serves grades 6-12 in the .",private,"m,h","6,7,8,9,10,11,12",3254 Northside Parkway Northwest,Atlanta,GA,(404) 845-0900,Fulton County,33.842667,-84.42424,,0.0,,"(33.842667, -84.42424)",
288,30327,Holy Spirit Prepartory School,"Holy Spirit Prepartory School, a private school located in Atlanta, GA, serves grades PK-12 in the .",private,"p,e,m,h","PK,TK,KG,1,2,3,4,5,6,7,8,9,10,11,12",4449 Northside Drive Northwest,Atlanta,GA,(678) 904-2811,Fulton County,33.877247,-84.409439,,0.0,,"(33.877247, -84.409439)",
291,30331,Westlake High School,"Westlake High School, a public school located in Atlanta, GA, serves grades 9-12 in the Fulton County School District.It has received a GreatSchools Rating of 7 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",2400 Union Road Southwest,Atlanta,GA,(470) 254-6400,Fulton County,33.689373,-84.575768,Fulton County School District,73.0,7,"(33.689373, -84.575768)",
293,30331,Mays High School,"Mays High School, a public school located in Atlanta, GA, serves grades 9-12 in the Atlanta Public Schools.It has received a GreatSchools Rating of 2 out of 10, based on a variety of school quality measures.",public,h,"9,10,11,12",3450 Benjamin E Mays Drive Southwest,Atlanta,GA,(404) 802-5100,Fulton County,33.734257,-84.5037,Atlanta Public Schools,4.0,2,"(33.734257, -84.5037)",
295,30331,Southwest Atlanta Christian Academy,"Southwest Atlanta Christian Academy, a private school located in Atlanta, GA, serves grades PK-12 in the .",private,"p,e,m,h","PK,TK,KG,1,2,3,4,5,6,7,8,9,10,11,12",3911 Campbellton Road Southwest,Atlanta,GA,(404) 346-2080,Fulton County,33.692966,-84.516037,,0.0,,"(33.692966, -84.516037)",
302,30331,Southwest Atlanta Christian Academy,"Southwest Atlanta Christian Academy, a private school located in Atlanta, GA, serves grades PK-12 in the .",private,"p,e,m,h","PK,KG,1,2,3,4,5,6,7,8,9,10,11,12",3911 Campbellton Road SW,Atlanta,GA,(404) 346-2080,Fulton,33.693298,-84.516296,,0.0,,"(33.693298, -84.516296)",
